artist_id,name,stage,startdate,enddate
49,Christian Lee Hutson ,Lima,2023-08-18T10:30:00+02:00,2023-08-18T11:15:00+02:00
50,Cincity ,Hacienda,2023-08-19T23:30:00+02:00,2023-08-20T01:00:00+02:00
51,Circumstances: Exit ,Juliet,2023-08-18T13:00:00+02:00,2023-08-18T13:50:00+02:00
52,Clipping. ,X-Ray,2023-08-20T19:45:00+02:00,2023-08-20T20:45:00+02:00
53,Coke Studio Presents 50Yr Hiphop Tribute ,Bravo,2023-08-19T11:00:00+02:00,2023-08-19T12:00:00+02:00
54,Coloray B2B Ineffekt ,Bravo,2023-08-19T21:00:00+02:00,2023-08-19T23:00:00+02:00
55,Comedy Club Haug ,Juliet,2023-08-20T22:30:00+02:00,2023-08-20T23:30:00+02:00
56,Comedytrain ,Juliet,2023-08-19T22:30:00+02:00,2023-08-19T23:30:00+02:00
57,Cordae ,Heineken,2023-08-18T17:30:00+02:00,2023-08-18T18:30:00+02:00
58,Crisisberaad ,Adonis,2023-08-18T13:00:00+02:00,2023-08-18T13:45:00+02:00
59,Crystallmess B2B Toxe ,X-Ray,2023-08-20T01:15:00+02:00,2023-08-20T02:45:00+02:00
60,Daan Van Der Hoeven ,Adonis,2023-08-18T14:30:00+02:00,2023-08-18T15:00:00+02:00
61,Dave Nunes ,Hacienda,2023-08-19T22:00:00+02:00,2023-08-19T23:30:00+02:00
62,David Vunk ,India,2023-08-20T00:30:00+02:00,2023-08-20T02:30:00+02:00
63,De Gouden Armadillows ,Juliet,2023-08-18T19:00:00+02:00,2023-08-18T20:00:00+02:00
64,De Jeugd Van Tegenwoordig ,Alpha,2023-08-20T17:45:00+02:00,2023-08-20T18:45:00+02:00
65,De Nationale Wetenschaps­quiz ,Echo,2023-08-18T16:00:00+02:00,2023-08-18T16:35:00+02:00
66,De Vijand ,Adonis,2023-08-20T08:30:00+02:00,2023-08-20T09:15:00+02:00
67,Dee Diggs ,X-Ray,2023-08-20T23:00:00+02:00,2023-08-21T00:45:00+02:00
68,Deki Alem ,India,2023-08-18T13:30:00+02:00,2023-08-18T14:20:00+02:00
69,Dorian Electra ,X-Ray,2023-08-19T19:45:00+02:00,2023-08-19T20:45:00+02:00
70,Dox En de Toneelmakerij: the Hot Peaches ,Juliet,2023-08-20T11:00:00+02:00,2023-08-20T12:00:00+02:00
71,Drag House Of Words ,Adonis,2023-08-19T10:00:00+02:00,2023-08-19T10:45:00+02:00
72,Dry Cleaning ,India,2023-08-20T16:00:00+02:00,2023-08-20T17:00:00+02:00
73,Echt! ,X-Ray,2023-08-18T14:25:00+02:00,2023-08-18T15:25:00+02:00
